CRN,Course,*Campus,Days,Date,Time,Location,Hrs,Type,Title,Instructor,Seats,Limit,Enroll,Waitlist,Course Fees,Catalog
"20910","ACCT 2110-01","M","M W F","08/14/2023-12/08/2023","0900-0950","TBA","3","CLAS","Fundamentals of Accounting I","Suraj Ghimire","29","30","1","1","$25","Bookstore Link",
"21895","ACCT 3071-01","M","T R","08/14/2023-12/08/2023","1700-1815","TBA","3","CLAS","Financial Accounting","Carrie A. Marsyla","19","20","1","0","N/A","Bookstore Link",
"22343","AE 3013-01D","DE","T R","08/14/2023-12/08/2023","0800-0915","WEB-V","3","CLAS","Orbital Mechanics","David Westpfahl","19","20","1","0","$60","Bookstore Link",
"22342","AE 4063-01","M","T R","08/14/2023-12/08/2023","0930-1045","TBA","3","CLAS","Bioinspiration & Biomimetics","Mostafa Hassanalian","10","10","0","0","$60","Bookstore Link",
"21435","ARTH 1116-01","M","M W F","08/14/2023-12/08/2023","1100-1150","TBA","3","CLAS","History of Design (Freshman)","Rebecca M. Spruill","15","15","0","0","$25","Bookstore Link",
"21437","ARTH 1116-02","M","M W F","08/14/2023-12/08/2023","1100-1150","TBA","3","CLAS","History of Design","Rebecca M. Spruill","7","10","3","0","$25","Bookstore Link",
"21439","ARTH 4089-01","M","M W F","08/14/2023-12/08/2023","1100-1150","TBA","3","CLAS","Special Topics in Hist Design","Rebecca M. Spruill","4","5","1","0","$25","Bookstore Link",
"20388","ARTS 1634-01","M","T","08/14/2023-12/08/2023","0915-1115","FACW 104","1","CLAS","Painting in Oils","Jenny C. Blomquist","20","20","0","0","$75","Bookstore Link",
"20705","ARTS 1634-04","M","R","08/14/2023-12/08/2023","1345-1545","FACW 104","1","CLAS","Painting with Oils","Jenny C. Blomquist","10","10","0","0","$75","Bookstore Link",
"20398","ARTS 1820-01","M","R","08/14/2023-12/08/2023","1400-1700","FACW 109","1","CLAS","Beginning Enameling","Theresa A. Boracci","4","4","0","0","$35","Bookstore Link",
"20402","ARTS 2325-01","M","R","08/14/2023-12/08/2023","1800-2100","FACW 109","1","CLAS","Precious Metal Clay I","Theresa A. Boracci","5","5","0","0","$175","Bookstore Link",
"21114","ARTS 2890-001","M","W","08/14/2023-12/08/2023","1400-1700","FACW 109","1","CLAS","Metal Arts & Lapidary III","Theresa A. Boracci","4","4","0","0","$35","Bookstore Link",
"20405","ARTS 2890-03","M","W","08/14/2023-12/08/2023","1400-1650","FACW 109","1","CLAS","Metal Arts & Lapidary II","Theresa A. Boracci","6","6","0","0","$35","Bookstore Link",
"20687","BIOL 1131-01","M","M","08/14/2023-12/08/2023","1200-1250",,"1","CLAS","Intro to Biology & BMS","Kaarin K. Goncz","59","60","1","0","$10","Bookstore Link",
"20736","BIOL 2110-01","M","M W F","08/14/2023-12/08/2023","1100-1150",,"3","CLAS","Prin of Bio: Cell & Molecular","Thomas Kieft","59","60","1","0","$25","Bookstore Link",
"20393","BIOL 2110L-02","M","T","08/14/2023-12/08/2023","1400-1630","JONESA 224","1","CLAS","Prin of Bio: Cell & Molec Lab","Kaarin K. Goncz","16","16","0","0","$150","Bookstore Link",
"20394","BIOL 2110L-03","M","W","08/14/2023-12/08/2023","1400-1630","JONESA 224","1","CLAS","Prin of Bio: Cell & Molec Lab","Kaarin K. Goncz","16","16","0","0","$150","Bookstore Link",
"20395","BIOL 2110L-04","M","R","08/14/2023-12/08/2023","1400-1630","JONESA 224","1","CLAS","Prin of Bio: Cell & Molec Lab","Kaarin K. Goncz","15","16","1","0","$150","Bookstore Link",
"21380","BIOL 2141-01","M","M","08/14/2023-12/08/2023","1400-1630","JONESA 230","2","CLAS","SEAPHAGE: Phage Discovery","Linda C. DeVeaux","10","10","0","0","N/A","Bookstore Link",
,,,"R","08/14/2023-12/08/2023","1400-1630","JONESA 230",,"CLAS",,"Kaarin K. Goncz",,,,,,,
"21372","BIOL 3031-01","M","M W F","08/14/2023-12/08/2023","1000-1050",,"3","CLAS","Cell Biology","Snezna Rogelj","45","60","15","0","N/A","Bookstore Link",
"21225","BIOL 3041-01","M","M W F","08/14/2023-12/08/2023","0900-0950",,"3","CLAS","Introductory Microbiology","Thomas Kieft","17","30","13","0","$25","Bookstore Link",
"21226","BIOL 3041L-01","M","T","08/14/2023-12/08/2023","1400-1630",,"1","CLAS","Introducing Microbiology Lab","Thomas Kieft","12","16","4","0","$150","Bookstore Link",
,,,,,,,,,,"Kaarin K. Goncz",,,,,,,
"21227","BIOL 3041L-02","M","W","08/14/2023-12/08/2023","1400-1630",,"1","CLAS","Introducing Microbiology Lab","Thomas Kieft","11","16","5","0","$150","Bookstore Link",
,,,,,,,,,,"Kaarin K. Goncz",,,,,,,
"21228","BIOL 3044-01","M","M W F","08/14/2023-12/08/2023","1300-1350",,"3","CLAS","Introductory Ecology","Benjamin D. Duval","18","32","14","0","$25","Bookstore Link",
"21229","BIOL 3044L-01","M","M","08/14/2023-12/08/2023","1400-1630",,"1","CLAS","Introductory Ecology Lab","Benjamin D. Duval","2","16","14","0","$150","Bookstore Link",
"21230","BIOL 3045-01","M","T R","08/14/2023-12/08/2023","0930-1045",,"3","CLAS","Evolutionary Biology","Benjamin D. Duval","18","30","12","0","$25","Bookstore Link",
,,,,,,,,,,"Joel T. Sharbrough",,,,,,,
"21231","BIOL 3051-01","M","T R","08/14/2023-12/08/2023","1230-1345",,"3","CLAS","Anatomy & Physiology","Stephen D. Wilkinson","9","30","21","0","$25","Bookstore Link",
"21232","BIOL 3051L-01","M","W","08/14/2023-12/08/2023","1400-1630",,"1","CLAS","Anatomy and Physiology Lab I","Kaarin K. Goncz","12","16","4","0","$150","Bookstore Link",
"21233","BIOL 3051L-02","M","R","08/14/2023-12/08/2023","1400-1630",,"1","CLAS","Anatomy and Physiology Lab I","Kaarin K. Goncz","1","16","15","0","$150","Bookstore Link",
"21234","BIOL 4031-01","M","M W F","08/14/2023-12/08/2023","1100-1150",,"3","CLAS","Virology","Linda C. DeVeaux","9","15","6","0","$25","Bookstore Link",
"21236","BIOL 4035-01","M","T R","08/14/2023-12/08/2023","1100-1215",,"3","CLAS","Bioinformatics","Joel T. Sharbrough","6","10","4","0","$25","Bookstore Link",
"21240","BIOL 4070-01","M","W","08/14/2023-12/08/2023","1200-1250",,"2","CLAS","Biology CURE","Willie A. Hughes","4","4","0","0","$150","Bookstore Link",
,,,"W","08/14/2023-12/08/2023","1415-1530",,,"CLAS",,"Linda C. DeVeaux",,,,,,,
"21241","BIOL 4081-01D","M","W","08/14/2023-12/08/2023","1900-2050","WEB-V","1","CLAS","FreeStyle Biosciences","Snezna Rogelj","0","0","0","0","N/A","Bookstore Link",
"21222","BIOL 4089-01","M","T R","08/14/2023-12/08/2023","1100-1215","SPEARE 23","3","CLAS","Exp. Cell Biology & BioT","Snezna Rogelj","10","10","0","0","$25","Bookstore Link",
"21243","BIOL 5000-01","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Directed Research","Benjamin D. Duval","10","10","0","0","N/A","Bookstore Link",
"21244","BIOL 5000-02","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Directed Research","Linda C. DeVeaux","10","10","0","0","N/A","Bookstore Link",
"21245","BIOL 5000-03","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Directed Research","Thomas Kieft","10","10","0","0","N/A","Bookstore Link",
"21246","BIOL 5000-04","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Directed Research","Snezna Rogelj","10","10","0","0","N/A","Bookstore Link",
"21247","BIOL 5000-05","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Directed Research","Joel T. Sharbrough","10","10","0","0","N/A","Bookstore Link",
"21248","BIOL 5001-01","M","M","08/14/2023-12/08/2023","1200-1250",,"1","CLAS","Graduate  Seminar","Benjamin D. Duval","17","20","3","0","$10","Bookstore Link",
,,,,,,,,,,"Joel T. Sharbrough",,,,,,,
