"CRN","Course","*Campus","Days","Date","Time","Location","Hrs","Type","Title","Instructor","Seats","Limit","Enroll","Waitlist","Course Fees","Catalog"
"20910","ACCT 2110-01","M","M W F","08/14/2023-12/08/2023","0900-0950","TBA","3","CLAS","Fundamentals of Accounting I","Suraj Ghimire","0","0","0","0","$25","https://catalog.nmt.edu/courses/ACCT2110",""
"21895","ACCT 3071-01","M","T R","08/14/2023-12/08/2023","1700-1815","TBA","3","CLAS","Financial Accounting","Carrie A. Marsyla","0","0","0","0","N/A","https://catalog.nmt.edu/courses/ACCT3071",""
"22343","AE 3013-01D","DE","T R","08/14/2023-12/08/2023","0800-0915","WEB-V","3","CLAS","Orbital Mechanics","David Westpfahl","20","20","0","0","$60","https://catalog.nmt.edu/courses/AE3013",""
"22342","AE 4063-01","M","T R","08/14/2023-12/08/2023","0930-1045","TBA","3","CLAS","Bioinspiration & Biomimetics","Mostafa Hassanalian","10","10","0","0","$60","https://catalog.nmt.edu/courses/AE4063",""
"21435","ARTH 1116-01","M","M W F","08/14/2023-12/08/2023","1100-1150","TBA","3","CLAS","History of Design (Freshman)","Rebecca M. Spruill","15","15","0","0","$25","https://catalog.nmt.edu/courses/ARTH1116",""
"21437","ARTH 1116-02","M","M W F","08/14/2023-12/08/2023","1100-1150","TBA","3","CLAS","History of Design","Rebecca M. Spruill","10","10","0","0","$25","https://catalog.nmt.edu/courses/ARTH1116",""
"21439","ARTH 4089-01","M","M W F","08/14/2023-12/08/2023","1100-1150","TBA","3","CLAS","Special Topics in Hist Design","Rebecca M. Spruill","5","5","0","0","$25","https://catalog.nmt.edu/courses/ARTH4089",""
"20388","ARTS 1634-01","M","T","08/14/2023-12/08/2023","0915-1115","FACW 104","1","CLAS","Painting in Oils","Jenny C. Blomquist","20","20","0","0","$75","https://catalog.nmt.edu/courses/ARTS1634",""
"20705","ARTS 1634-04","M","R","08/14/2023-12/08/2023","1345-1545","FACW 104","1","CLAS","Painting with Oils","Jenny C. Blomquist","10","10","0","0","$75","https://catalog.nmt.edu/courses/ARTS1634",""
"20398","ARTS 1820-01","M","R","08/14/2023-12/08/2023","1400-1700","FACW 109","1","CLAS","Beginning Enameling","Theresa A. Boracci","4","4","0","0","$35","https://catalog.nmt.edu/courses/ARTS1820",""
"20402","ARTS 2325-01","M","R","08/14/2023-12/08/2023","1800-2100","FACW 109","1","CLAS","Precious Metal Clay I","Theresa A. Boracci","5","5","0","0","$175","https://catalog.nmt.edu/courses/ARTS2325",""
"21114","ARTS 2890-001","M","W","08/14/2023-12/08/2023","1400-1700","FACW 109","1","CLAS","Metal Arts & Lapidary III","Theresa A. Boracci","4","4","0","0","$35","https://catalog.nmt.edu/courses/ARTS2890",""
"20405","ARTS 2890-03","M","W","08/14/2023-12/08/2023","1400-1650","FACW 109","1","CLAS","Metal Arts & Lapidary II","Theresa A. Boracci","6","6","0","0","$35","https://catalog.nmt.edu/courses/ARTS2890",""
"20687","BIOL 1131-01","M","M","08/14/2023-12/08/2023","1200-1250","","1","CLAS","Intro to Biology & BMS","Kaarin K. Goncz","60","60","0","0","$10","https://catalog.nmt.edu/courses/BIOL1131",""
"20736","BIOL 2110-01","M","M W F","08/14/2023-12/08/2023","1100-1150","","3","CLAS","Prin of Bio: Cell & Molecular","Thomas Kieft","60","60","0","0","$25","https://catalog.nmt.edu/courses/BIOL2110",""
"20393","BIOL 2110L-02","M","T","08/14/2023-12/08/2023","1400-1630","JONESA 224","1","CLAS","Prin of Bio: Cell & Molec Lab","Kaarin K. Goncz","16","16","0","0","$150","https://catalog.nmt.edu/courses/BIOL2110",""
"20394","BIOL 2110L-03","M","W","08/14/2023-12/08/2023","1400-1630","JONESA 224","1","CLAS","Prin of Bio: Cell & Molec Lab","Kaarin K. Goncz","16","16","0","0","$150","https://catalog.nmt.edu/courses/BIOL2110",""
"20395","BIOL 2110L-04","M","R","08/14/2023-12/08/2023","1400-1630","JONESA 224","1","CLAS","Prin of Bio: Cell & Molec Lab","Kaarin K. Goncz","16","16","0","0","$150","https://catalog.nmt.edu/courses/BIOL2110",""
"21380","BIOL 2141-01","M","M","08/14/2023-12/08/2023","1400-1630","JONESA 230","2","CLAS","SEAPHAGE: Phage Discovery","Linda C. DeVeaux & Kaarin K. Goncz","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL2141",""
"21372","BIOL 3031-01","M","M W F","08/14/2023-12/08/2023","1000-1050","","3","CLAS","Cell Biology","Snezna Rogelj","59","60","1","0","N/A","https://catalog.nmt.edu/courses/BIOL3031",""
"21225","BIOL 3041-01","M","M W F","08/14/2023-12/08/2023","0900-0950","","3","CLAS","Introductory Microbiology","Thomas Kieft","23","30","7","0","$25","https://catalog.nmt.edu/courses/BIOL3041",""
"21226","BIOL 3041L-01","M","T","08/14/2023-12/08/2023","1400-1630","","1","CLAS","Introducing Microbiology Lab","Thomas Kieft & Kaarin K. Goncz","15","16","1","0","$150","https://catalog.nmt.edu/courses/BIOL3041",""
"21227","BIOL 3041L-02","M","W","08/14/2023-12/08/2023","1400-1630","","1","CLAS","Introducing Microbiology Lab","Thomas Kieft & Kaarin K. Goncz","13","16","3","0","$150","https://catalog.nmt.edu/courses/BIOL3041",""
"21228","BIOL 3044-01","M","M W F","08/14/2023-12/08/2023","1300-1350","","3","CLAS","Introductory Ecology","Benjamin D. Duval","24","32","8","0","$25","https://catalog.nmt.edu/courses/BIOL3044",""
"21229","BIOL 3044L-01","M","M","08/14/2023-12/08/2023","1400-1630","","1","CLAS","Introductory Ecology Lab","Benjamin D. Duval","8","16","8","0","$150","https://catalog.nmt.edu/courses/BIOL3044",""
"21230","BIOL 3045-01","M","T R","08/14/2023-12/08/2023","0930-1045","","3","CLAS","Evolutionary Biology","Benjamin D. Duval & Joel T. Sharbrough","25","30","5","0","$25","https://catalog.nmt.edu/courses/BIOL3045",""
"21231","BIOL 3051-01","M","T R","08/14/2023-12/08/2023","1230-1345","","3","CLAS","Anatomy & Physiology","Stephen D. Wilkinson","24","30","6","0","$25","https://catalog.nmt.edu/courses/BIOL3051",""
"21232","BIOL 3051L-01","M","W","08/14/2023-12/08/2023","1400-1630","","1","CLAS","Anatomy and Physiology Lab I","Kaarin K. Goncz","16","16","0","0","$150","https://catalog.nmt.edu/courses/BIOL3051",""
"21233","BIOL 3051L-02","M","R","08/14/2023-12/08/2023","1400-1630","","1","CLAS","Anatomy and Physiology Lab I","Kaarin K. Goncz","12","16","4","0","$150","https://catalog.nmt.edu/courses/BIOL3051",""
"21234","BIOL 4031-01","M","M W F","08/14/2023-12/08/2023","1100-1150","","3","CLAS","Virology","Linda C. DeVeaux","13","15","2","0","$25","https://catalog.nmt.edu/courses/BIOL4031",""
"21236","BIOL 4035-01","M","T R","08/14/2023-12/08/2023","1100-1215","","3","CLAS","Bioinformatics","Joel T. Sharbrough","7","10","3","0","$25","https://catalog.nmt.edu/courses/BIOL4035",""
"21240","BIOL 4070-01","M","W","08/14/2023-12/08/2023","1200-1250","","2","CLAS","Biology CURE","Willie A. Hughes & Linda C. DeVeaux","4","4","0","0","$150","https://catalog.nmt.edu/courses/BIOL4070",""
"21241","BIOL 4081-01D","M","W","08/14/2023-12/08/2023","1900-2050","WEB-V","1","CLAS","FreeStyle Biosciences","Snezna Rogelj","0","0","0","0","N/A","https://catalog.nmt.edu/courses/BIOL4081",""
"21222","BIOL 4089-01","M","T R","08/14/2023-12/08/2023","1100-1215","SPEARE 23","3","CLAS","Exp. Cell Biology & BioT","Snezna Rogelj","10","10","0","0","$25","https://catalog.nmt.edu/courses/BIOL4089",""
