CRN,Course,*Campus,Days,Date,Time,Location,Hrs,Type,Title,Instructor,Seats,Limit,Enroll,Waitlist,Course Fees,Catalog
"10570","BIOL 3041-01","M","M W F","06/05/2023-07/28/2023","1100-1150","TBA","3","CLAS","Introductory Microbiology","Thomas Kieft","30","30","0","0","N/A","Bookstore Link",
"10552","BIOL 5091-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Linda C. DeVeaux","10","10","0","0","N/A","Bookstore Link",
"10616","BIOL 5091-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Benjamin D. Duval","10","10","0","0","N/A","Bookstore Link",
"10618","BIOL 5091-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Thomas Kieft","10","10","0","0","N/A","Bookstore Link",
"10619","BIOL 5091-04","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Snezna Rogelj","10","10","0","0","N/A","Bookstore Link",
"10620","BIOL 5091-05","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Joel T. Sharbrough","10","10","0","0","N/A","Bookstore Link",
"10621","BIOL 5091-06","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Daniel S. Jones","10","10","0","0","N/A","Bookstore Link",
"10803","CH E 5091-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Sanchari Chowdhury","10","10","0","0","N/A","Bookstore Link",
"10804","CH E 5091-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Pabitra Choudhury","10","10","0","0","N/A","Bookstore Link",
"10805","CH E 5091-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Corey A. Leclerc","10","10","0","0","N/A","Bookstore Link",
"10806","CH E 5091-04","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Youngmin Lee","10","10","0","0","N/A","Bookstore Link",
"10807","CH E 5091-05","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Donglee Shin","10","10","0","0","N/A","Bookstore Link",
"10808","CH E 5091-06","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Michaelann S. Tartis","10","10","0","0","N/A","Bookstore Link",
"10541","CHEM 3000-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Wenyang Gao","5","5","0","0","N/A","Bookstore Link",
"10542","CHEM 3000-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Praveen Patidar","5","5","0","0","N/A","Bookstore Link",
"10543","CHEM 3000-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Sally C. Pias","5","5","0","0","N/A","Bookstore Link",
"10544","CHEM 3000-04","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Menake E. Piyasena","5","5","0","0","N/A","Bookstore Link",
"10545","CHEM 3000-05","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Jeff A. Altig","5","5","0","0","N/A","Bookstore Link",
"10989","CHEM 3000-06","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Gayan R. Rubasinghege","5","5","0","0","N/A","Bookstore Link",
"10990","CHEM 3000-07","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Nicolas E. Holubowitch","5","5","0","0","N/A","Bookstore Link",
"10546","CHEM 5000-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Sally C. Pias","5","5","0","0","N/A","Bookstore Link",
"10547","CHEM 5000-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Gayan R. Rubasinghege","5","5","0","0","N/A","Bookstore Link",
"10548","CHEM 5000-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Wenyang Gao","5","5","0","0","N/A","Bookstore Link",
"10549","CHEM 5000-04","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Praveen Patidar","5","5","0","0","N/A","Bookstore Link",
"10550","CHEM 5000-05","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Menake E. Piyasena","5","5","0","0","N/A","Bookstore Link",
"10992","CHEM 5000-07","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Nicolas E. Holubowitch","5","5","0","0","N/A","Bookstore Link",
"10551","CHEM 5091-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Praveen Patidar","5","5","0","0","N/A","Bookstore Link",
"10553","CHEM 5091-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Menake E. Piyasena","10","10","0","0","N/A","Bookstore Link",
"10554","CHEM 5091-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Wenyang Gao","10","10","0","0","N/A","Bookstore Link",
"10555","CHEM 5095-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Gayan R. Rubasinghege","10","10","0","0","N/A","Bookstore Link",
"10556","CHEM 5095-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Sally C. Pias","10","10","0","0","N/A","Bookstore Link",
"10557","CHEM 5095-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Menake E. Piyasena","10","10","0","0","N/A","Bookstore Link",
"10866","CEE 5091-01","M","M W F","06/05/2023-07/28/2023","0800-0850",,"3","CLAS","Thesis","Claudia Mara D. Wilson","1","1","0","0","N/A","Bookstore Link",
"10867","CEE 5091-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Isabel M. Morris","10","10","0","0","N/A","Bookstore Link",
"10868","CEE 5091-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Christian M. Carrico","10","10","0","0","N/A","Bookstore Link",
"10869","CEE 5091-04","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Clinton P. Richardson","2","2","0","0","N/A","Bookstore Link",
"10870","CEE 5091-05","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Moustapha J. Harb","1","1","0","0","N/A","Bookstore Link",
"10219","CEE 590-01","M",,,,,"1",,"Independent Study",,"10","10","0","0","N/A","Bookstore Link",
"11001","CSE 122-01D","DE","MTWR","06/05/2023-07/28/2023","1600-1715","WEB-V","3","CLAS","Algorithms & Data Structures","Amy E. Knowles","15","15","0","0","N/A","Bookstore Link",
"11011","CSE 4091-01","M",,"06/05/2023-07/28/2023",,,"0","CLAS","REU Research","Jun Zheng","10","10","0","0","N/A","Bookstore Link",
"10978","CSE 5000-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Subhasish Mazumdar","5","5","0","0","N/A","Bookstore Link",
"10539","CSE 500-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Subhasish Mazumdar","5","5","0","0","N/A","Bookstore Link",
"10979","CSE 5090-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Independent Study","Jun Zheng","5","5","0","0","N/A","Bookstore Link",
"10980","CSE 5090-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Independent Study","Hamdy Soliman","1","1","0","0","N/A","Bookstore Link",
"10981","CSE 5091-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Jun Zheng","1","1","0","0","N/A","Bookstore Link",
"10982","CSE 5091-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Clinton L. Jeffery","1","1","0","0","N/A","Bookstore Link",
"10983","CSE 5091-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","No Given Name Ramyaa","1","1","0","0","N/A","Bookstore Link",
"11013","CSE 5095-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Jun Zheng","5","5","0","0","N/A","Bookstore Link",
"10969","CYBS 5000-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Lorie M. Liebrock","10","10","0","0","N/A","Bookstore Link",
"10970","CYBS 5000-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Dongwan Shin","10","10","0","0","N/A","Bookstore Link",
"10972","CYBS 5090-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Independent Study","Lorie M. Liebrock","10","10","0","0","N/A","Bookstore Link",
"10973","CYBS 5090-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Independent Study","Dongwan Shin","10","10","0","0","N/A","Bookstore Link",
"10974","CYBS 5091-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Lorie M. Liebrock","10","10","0","0","N/A","Bookstore Link",
"10975","CYBS 5091-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Dongwan Shin","10","10","0","0","N/A","Bookstore Link",
"10976","CYBS 5095-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Lorie M. Liebrock","10","10","0","0","N/A","Bookstore Link",
"10977","CYBS 5095-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Dongwan Shin","10","10","0","0","N/A","Bookstore Link",
"10639","EE 5000-01","M",,"06/05/2023-07/28/2023",,,"3","CLAS","Directed Research","Scott Teare","1","1","0","0","N/A","Bookstore Link",
"10641","EE 5091-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Rene Arechiga","5","5","0","0","N/A","Bookstore Link",
"10645","EE 5091-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Aly I. El-Osery","5","5","0","0","N/A","Bookstore Link",
"10809","EE 5091-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Anders M. Jorgensen","5","5","0","0","N/A","Bookstore Link",
"10810","EE 5091-04","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Seda Senay","5","5","0","0","N/A","Bookstore Link",
"10811","EE 5091-05","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Scott Teare","5","5","0","0","N/A","Bookstore Link",
"10812","EE 5091-06","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Kevin Wedeward","5","5","0","0","N/A","Bookstore Link",
"10813","EE 5091-07","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Sihua Shao","5","5","0","0","N/A","Bookstore Link",
"10814","EE 5095-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Rene Arechiga","10","10","0","0","N/A","Bookstore Link",
"10815","EE 5095-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Aly I. El-Osery","10","10","0","0","N/A","Bookstore Link",
"10816","EE 5095-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Anders M. Jorgensen","10","10","0","0","N/A","Bookstore Link",
"10817","EE 5095-04","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Seda Senay","10","10","0","0","N/A","Bookstore Link",
"10818","EE 5095-05","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Scott Teare","10","10","0","0","N/A","Bookstore Link",
"10819","EE 5095-06","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Kevin Wedeward","10","10","0","0","N/A","Bookstore Link",
"10820","EE 5095-07","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Sihua Shao","5","5","0","0","N/A","Bookstore Link",
"10626","ENGL 3041-01A","DE",,"06/05/2023-07/28/2023",,,"3","CLAS","Technical Writing","Marina Choy","20","20","0","0","N/A","Bookstore Link",
"10559","GEOB 5000-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Study","Daniel S. Jones","10","10","0","0","N/A","Bookstore Link",
"10560","GEOB 5095-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Daniel S. Jones","10","10","0","0","N/A","Bookstore Link",
"10561","GEOC 5000-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Nelia Dunbar","10","10","0","0","N/A","Bookstore Link",
"10563","GEOC 5000-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Bonnie Frey","10","10","0","0","N/A","Bookstore Link",
"10565","GEOC 5000-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Alexander Gysi","10","10","0","0","N/A","Bookstore Link",
"10566","GEOC 5000-04","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","James B. Harrison","10","10","0","0","N/A","Bookstore Link",
"10567","GEOC 5000-05","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Matthew T. Heizler","10","10","0","0","N/A","Bookstore Link",
"10568","GEOC 5000-06","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Daniel S. Jones","10","10","0","0","N/A","Bookstore Link",
"10569","GEOC 5000-07","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Shari A. Kelley","10","10","0","0","N/A","Bookstore Link",
"10571","GEOC 5000-08","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Philip Kyle","10","10","0","0","N/A","Bookstore Link",
"10572","GEOC 5000-09","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","William C. McIntosh","10","10","0","0","N/A","Bookstore Link",
