"CRN","Course","*Campus","Days","Date","Time","Location","Hrs","Type","Title","Instructor","Seats","Limit","Enroll","Waitlist","Course Fees","Catalog","Float"
"10570","BIOL 3041-01","M","M W F","06/05/2023-07/28/2023","1100-1150","TBA","3","CLAS","Introductory Microbiology","Thomas Kieft","30","30","0","0","N/A","https://catalog.nmt.edu/courses/BIOL3041",""
"10552","BIOL 5091-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Linda C. DeVeaux","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL5091",""
"10616","BIOL 5091-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Benjamin D. Duval","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL5091",""
"10618","BIOL 5091-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Thomas Kieft","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL5091",""
"10619","BIOL 5091-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Snezna Rogelj","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL5091",""
"10620","BIOL 5091-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Joel T. Sharbrough","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL5091",""
"10621","BIOL 5091-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Daniel S. Jones","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL5091",""
"10803","CH E 5091-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Sanchari Chowdhury","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE5091",""
"10804","CH E 5091-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Pabitra Choudhury","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE5091",""
"10805","CH E 5091-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Corey A. Leclerc","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE5091",""
"10806","CH E 5091-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Youngmin Lee","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE5091",""
"10807","CH E 5091-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Donglee Shin","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE5091",""
"10808","CH E 5091-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Michaelann S. Tartis","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE5091",""
"10541","CHEM 3000-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Wenyang Gao","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CHEM3000",""
"10542","CHEM 3000-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Praveen Patidar","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CHEM3000",""
"10543","CHEM 3000-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Sally C. Pias","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CHEM3000",""
"10544","CHEM 3000-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Menake E. Piyasena","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CHEM3000",""
"10545","CHEM 3000-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Jeff A. Altig","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CHEM3000",""
"10989","CHEM 3000-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Gayan R. Rubasinghege","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CHEM3000",""
"10990","CHEM 3000-07","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Nicolas E. Holubowitch","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CHEM3000",""
"10546","CHEM 5000-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Sally C. Pias","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CHEM5000",""
"10547","CHEM 5000-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Gayan R. Rubasinghege","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CHEM5000",""
"10548","CHEM 5000-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Wenyang Gao","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CHEM5000",""
"10549","CHEM 5000-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Praveen Patidar","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CHEM5000",""
"10550","CHEM 5000-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Menake E. Piyasena","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CHEM5000",""
"10992","CHEM 5000-07","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Nicolas E. Holubowitch","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CHEM5000",""
"10551","CHEM 5091-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Praveen Patidar","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CHEM5091",""
"10553","CHEM 5091-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Menake E. Piyasena","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHEM5091",""
"10554","CHEM 5091-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Wenyang Gao","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHEM5091",""
"10555","CHEM 5095-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Gayan R. Rubasinghege","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHEM5095",""
"10556","CHEM 5095-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Sally C. Pias","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHEM5095",""
"10557","CHEM 5095-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Menake E. Piyasena","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHEM5095",""
"10866","CEE 5091-01","M","M W F","06/05/2023-07/28/2023","0800-0850","","3","CLAS","Thesis","Claudia Mara D. Wilson","1","1","0","0","N/A","https://catalog.nmt.edu/courses/CEE5091",""
"10867","CEE 5091-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Isabel M. Morris","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CEE5091",""
"10868","CEE 5091-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Christian M. Carrico","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CEE5091",""
"10869","CEE 5091-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Clinton P. Richardson","2","2","0","0","N/A","https://catalog.nmt.edu/courses/CEE5091",""
"10870","CEE 5091-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Moustapha J. Harb","1","1","0","0","N/A","https://catalog.nmt.edu/courses/CEE5091",""
"10219","CEE 590-01","M","","","","","1","","Independent Study","","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CEE590",""
"11001","CSE 122-01D","DE","MTWR","06/05/2023-07/28/2023","1600-1715","WEB-V","3","CLAS","Algorithms & Data Structures","Amy E. Knowles","12","15","3","0","N/A","https://catalog.nmt.edu/courses/CSE122",""
"11011","CSE 4091-01","M","","06/05/2023-07/28/2023","","","0","CLAS","REU Research","Jun Zheng","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CSE4091",""
"10978","CSE 5000-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Subhasish Mazumdar","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CSE5000",""
"10539","CSE 500-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Subhasish Mazumdar","5","5","0","0","N/A","https://catalog.nmt.edu/courses/CSE500",""
"10979","CSE 5090-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Independent Study","Jun Zheng","4","5","1","0","N/A","https://catalog.nmt.edu/courses/CSE5090",""
"10980","CSE 5090-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Independent Study","Hamdy Soliman","1","1","0","0","N/A","https://catalog.nmt.edu/courses/CSE5090",""
"10981","CSE 5091-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Jun Zheng","1","1","0","0","N/A","https://catalog.nmt.edu/courses/CSE5091",""
"10982","CSE 5091-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Clinton L. Jeffery","1","1","0","0","N/A","https://catalog.nmt.edu/courses/CSE5091",""
